,Costs
1209,51019.0
1210,51442.0
1211,48301.0
1212,50578.0
1213,50227.0
1214,50704.0
1215,49426.0
1216,49516.0
1217,49264.0
1218,49741.0
1219,50452.0
1220,49777.0
1221,50353.0
1222,51469.0
1223,48175.0
1224,51622.0
1225,49327.0
1226,48562.0
1227,49732.0
1228,51316.0
1229,48535.0
1230,49795.0
1231,50398.0
1232,50281.0
1233,50299.0
1234,50119.0
1235,51307.0
1236,51784.0
1237,48760.0
1238,48193.0
1239,50794.0
1240,50191.0
1241,49570.0
1242,49714.0
1243,50983.0
1244,49048.0
1245,50839.0
1246,49966.0
1247,50875.0
1248,48868.0
1249,50506.0
1250,48445.0
1251,49561.0
1252,49993.0
1253,51082.0
1254,48301.0
1255,48652.0
1256,50686.0
1257,50128.0
1258,50524.0
1259,50857.0
1260,50623.0
1261,49381.0
1262,48022.0
1263,50596.0
1264,49219.0
1265,49363.0
1266,48481.0
1267,49084.0
1268,49957.0
1269,50686.0
1270,50047.0
1271,50614.0
1272,50380.0
1273,52144.0
1274,50344.0
1275,49291.0
1276,49840.0
1277,50092.0
1278,51334.0
1279,50533.0
1280,49426.0
1281,49858.0
1282,50839.0
1283,50191.0
1284,50371.0
1285,49858.0
1286,49606.0
1287,50056.0
1288,48580.0
1289,50020.0
1290,50119.0
1291,50956.0
1292,49678.0
1293,51802.0
1294,49804.0
1295,49093.0
1296,48877.0
1297,50110.0
1298,50992.0
1299,51514.0
1300,48085.0
1301,48823.0
1302,48544.0
1303,51523.0
1304,50353.0
1305,48985.0
1306,50191.0
1307,48436.0
1308,49417.0
1309,49264.0
1310,51208.0
1311,50983.0
1312,49651.0
1313,50398.0
1314,50326.0
1315,50182.0
1316,49975.0
1317,50551.0
1318,50596.0
1319,50758.0
1320,49399.0
1321,51154.0
1322,49705.0
1323,50956.0
1324,51523.0
1325,49876.0
1326,49669.0
1327,50722.0
1328,51010.0
1329,49255.0
1330,50587.0
1331,50479.0
1332,48454.0
1333,49885.0
1334,47572.0
1335,49858.0
1336,51505.0
1337,52828.0
1338,51280.0
1339,50992.0
1340,49471.0
1341,49948.0
1342,49903.0
1343,50362.0
1344,50047.0
1345,52630.0
1346,50353.0
1347,50911.0
1348,49669.0
1349,48868.0
1350,50371.0
1351,50515.0
1352,50857.0
1353,51073.0
1354,53440.0
1355,49714.0
1356,49372.0
1357,49876.0
1358,50605.0
1359,50074.0
1360,50596.0
1361,51397.0
1362,50299.0
1363,49741.0
1364,50578.0
1365,50857.0
1366,49669.0
1367,49498.0
1368,50488.0
1369,45790.0
